"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",0,0,0,0,0.365000000000009,0,0.7,0,0,-22.5,112.22,-0.470000000000027,549,16476,0,0.0310465799999946,1.80000000000001
"2",0,0,0,0,0.0269999999999868,0,-0.5,0,0,2.55000000000018,20.1800000000001,-36.9,-137,15716,0,0.304441530000005,-5.20000000000002
"3",0,2117.79999999999,2000.40000000002,3294.40000000002,-0.00900000000000034,-0.3,-0.2,-2,0.399999999999999,9.64999999999986,-27.49,-20.64,-225,18502,12.1,-0.164136859999999,0.300000000000011
"4",0,0,0,0,0.173000000000002,0,-0.4,0,0,18.72,-109.57,-0.0500000000000114,1455,17849,0,0.0824942299999947,3.09999999999999
"5",0,0,0,0,-0.137,0,0.1,0,0,11.24,-37.75,5.82000000000005,-1725,13518,0,0.00585884999999564,0.199999999999989
"6",-0.25,1635.60000000003,5306.5,4033.39999999997,-0.217999999999989,-0.2,-0.1,-2.1,-1,-22.1500000000001,-21.8499999999999,4.78999999999996,564,18184,10.7,0.0100739300000043,-5.89999999999998
"7",0,0,0,0,0.445999999999998,0,-0.1,0,0,-11.6699999999998,92.1600000000001,33.34,-903,20524,0,0.0776399199999958,2.09999999999999
"8",0,0,0,0,0.691999999999993,0,-0.1,0,0,-6.91000000000008,42.3799999999999,5.23000000000002,-78,19617,0,0.129201460000004,3.79999999999998
"9",-0.25,1914.79999999999,-38.6000000000349,-290.599999999977,-0.182000000000002,0.1,-0.1,-0.599999999999998,0.100000000000001,-17.8499999999999,-19.0999999999999,-20.0600000000001,551,21041,20.1999999999999,0.1509748,-0.399999999999977
"10",0,0,0,0,-0.345999999999989,0,0,0,0,-19.4100000000001,-37.49,-15.31,422,18541,0,0.126529120000001,-0.900000000000006
"11",0,0,0,0,0.173000000000002,0,0.1,0,0,-10.55,69.1399999999999,19.99,577,17467,0,0.0399430800000005,-0.800000000000011
"12",0,3363.5,4508.20000000001,3759.5,0.582999999999998,0.4,0.5,1,0.399999999999999,-11.6200000000001,12.26,6.96999999999997,-1515,16908,3.10000000000002,0.129903909999996,1.30000000000001
"13",0,0,0,0,0.326999999999998,0,0.5,0,0,21.3300000000002,-6.25,31.5300000000001,547,25823,0,0.127829540000008,2.19999999999999
"14",0,0,0,0,-0.0910000000000082,0,-0.4,0,0,15.52,10.3900000000001,4.59999999999991,226,12840,0,0.409519399999994,1.30000000000001
"15",0,4527.29999999999,6529.79999999999,6590.39999999997,-0.135999999999996,0.3,-0.3,-1.1,0.5,19.6299999999999,-51.3599999999999,20.22,202,14625,17.3,0.06154248,-1.30000000000001
"16",-0.25,0,0,0,0,0,-0.2,0,0,-11.1599999999999,35.5699999999999,-41.14,1068,16026,0,0.0190145899999976,1.80000000000001
"17",0,0,0,0,-0.119,0,0.1,0,0,24.54,-90.04,3.47000000000003,712,13386,0,0.248005050000003,-2.59999999999999
"18",0,3338.90000000002,4844.30000000005,4257.80000000005,0.209999999999994,-0.3,0,0.600000000000001,-0.399999999999999,-7.98000000000002,-12.6400000000001,6.67999999999995,-2531,16961,12.6,0.040022570000005,3.09999999999999
"19",0,0,0,0,0.346000000000004,0,-0.1,0,0,-10.25,25.1900000000001,-12.9499999999999,-80,16666,0,0.0429428499999887,0.799999999999983
"20",0,0,0,0,0.191000000000003,0,-0.3,0,0,-29.6300000000001,87.4300000000001,2.58999999999992,108,17024,0,0.0281909000000127,5.40000000000001
